AlternateID,CommonName,Phylum,Class,Order,Family,Genus,SpeciesName,Collector,CollectionDate,collection_year,CruiseID,Event ID,Haul,Station,Equipment_Gear,Locality,StartLatitude_N,StartLongitude_W
Norton10_302,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,9,Bottom Trawl,eastern Bering Sea,60.30,-171.85
Norton10_303,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,9,Bottom Trawl,eastern Bering Sea,60.30,-171.85
Norton10_304,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,9,Bottom Trawl,eastern Bering Sea,60.30,-171.85
Norton10_305,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,9,Bottom Trawl,eastern Bering Sea,60.30,-171.85
Norton10_306,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,9,Bottom Trawl,eastern Bering Sea,60.30,-171.85
Norton10_307,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,9,Bottom Trawl,eastern Bering Sea,60.30,-171.85
Norton10_308,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,9,Bottom Trawl,eastern Bering Sea,60.30,-171.85
Norton10_309,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,9,Bottom Trawl,eastern Bering Sea,60.30,-171.85
Norton10_310,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,9,Bottom Trawl,eastern Bering Sea,60.30,-171.85
Norton10_311,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,9,Bottom Trawl,eastern Bering Sea,60.30,-171.85
Norton10_312,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,9,Bottom Trawl,eastern Bering Sea,60.30,-171.85
Norton10_313,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,9,Bottom Trawl,eastern Bering Sea,60.30,-171.85
Norton10_314,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,9,Bottom Trawl,eastern Bering Sea,60.30,-171.85
Norton10_315,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,9,Bottom Trawl,eastern Bering Sea,60.30,-171.85
Norton10_316,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,9,Bottom Trawl,eastern Bering Sea,60.30,-171.85
Norton10_317,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,9,Bottom Trawl,eastern Bering Sea,60.30,-171.85
Norton10_318,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,9,Bottom Trawl,eastern Bering Sea,60.30,-171.85
Norton10_319,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,9,Bottom Trawl,eastern Bering Sea,60.30,-171.85
Norton10_320,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,9,Bottom Trawl,eastern Bering Sea,60.30,-171.85
Norton10_321,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,65,Bottom Trawl,eastern Bering Sea,64.59,-168.59
Norton10_322,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,65,Bottom Trawl,eastern Bering Sea,64.59,-168.59
