extraction_ID,Sample_Name,Collection_Date_local,Collection_Time_local,Cast_No.,Rosette_position,Station,Depth_m,Lat_dec,Lon_dec,temperature_ch1,temperature_ch2,salinity_ch1,salinity_ch2
E1065.SKQ2021,E1065.SKQ2021,11/10/2021,1:26,5,3,DBO4.4,43.311,71.589,-161.4065,-1.5283,-1.5293,32.7823,32.7781
E1066.SKQ2021,E1066.SKQ2021,11/10/2021,1:26,5,5,DBO4.4,30.379,71.589,-161.4065,-1.3818,-1.3815,32.6031,32.5983
E1067.SKQ2021,E1067.SKQ2021,11/10/2021,1:26,5,11,DBO4.4,10.315,71.589,-161.4065,-1.667,-1.6681,30.6967,30.6906
E1068.SKQ2021,E1068.SKQ2021,11/10/2021,3:18,6,2,CEO,42.303,71.59116667,-161.523,-1.5172,-1.5181,32.7704,32.7643
E1069.SKQ2021,E1069.SKQ2021,11/10/2021,3:18,6,8,CEO,30.186,71.59116667,-161.523,-1.3787,-1.3793,32.5841,32.5797
E1070.SKQ2021,E1070.SKQ2021,11/10/2021,3:18,6,14,CEO,10.203,71.59116667,-161.523,-1.6639,-1.6649,30.615,30.6103
E1071.SKQ2021,E1071.SKQ2021,11/10/2021,5:34,7,2,DBO4.5,39.34,71.71916667,-161.7743333,-1.6106,-1.6116,32.8329,32.8259
E1072.SKQ2021,E1072.SKQ2021,11/10/2021,5:34,7,5,DBO4.5,30.031,71.71916667,-161.7743333,-1.6117,-1.6128,32.8233,32.8179
E1073.SKQ2021,E1073.SKQ2021,11/10/2021,5:34,7,11,DBO4.5,9.983,71.71916667,-161.7743333,-1.6638,-1.6647,30.3778,30.3724
E1074.SKQ2021,E1074.SKQ2021,11/10/2021,9:39,8,2,DBO4.6,37.154,71.85066667,-162.1698333,-1.5963,-1.5971,32.781,32.7751
E1075.SKQ2021,E1075.SKQ2021,11/10/2021,9:39,8,5,DBO4.6,30.592,71.85066667,-162.1698333,-1.5504,-1.5512,32.4955,32.4906
E1076.SKQ2021,E1076.SKQ2021,11/10/2021,9:39,8,11,DBO4.6,10.411,71.85066667,-162.1698333,-1.6738,-1.6747,30.5039,30.4981
E1077.SKQ2021,E1077.SKQ2021,11/10/2021,20:10,9,2,C2,40.265,71.21833333,-164.2428333,0.2211,0.2159,31.6242,31.6138
E1078.SKQ2021,E1078.SKQ2021,11/10/2021,20:10,9,5,C2,30.339,71.21833333,-164.2428333,-0.2795,-0.2798,31.2196,31.2154
E1079.SKQ2021,E1079.SKQ2021,11/10/2021,20:10,9,11,C2,10.227,71.21833333,-164.2428333,-0.4661,-0.4665,31.1133,31.1091
E1080.SKQ2021,E1080.SKQ2021,11/11/2021,16:21,10,2,DBO3.1,30.03,68.304,-166.9288333,-0.5221,-0.5222,30.8719,30.8662
E1081.SKQ2021,E1081.SKQ2021,11/11/2021,16:21,10,6,DBO3.1,10.204,68.304,-166.9288333,-1.575,-1.5887,29.7578,29.743
E1082.SKQ2021,E1082.SKQ2021,11/11/2021,18:15,11,2,DBO3.2,38.407,68.24933333,-167.1233333,0.7942,0.7933,31.6493,31.6409
E1083.SKQ2021,E1083.SKQ2021,11/11/2021,18:15,11,5,DBO3.2,30.655,68.24933333,-167.1233333,0.7978,0.7971,31.6457,31.6389
E1084.SKQ2021,E1084.SKQ2021,11/11/2021,18:15,11,11,DBO3.2,9.924,68.24933333,-167.1233333,-1.6278,-1.6288,29.6759,29.6651
E1085.SKQ2021,E1085.SKQ2021,11/11/2021,20:26,13,4,DBO3.3,43.143,68.1905,-167.2913333,0.8264,0.8245,31.82,31.8181
E1086.SKQ2021,E1086.SKQ2021,11/11/2021,20:26,13,8,DBO3.3,30.067,68.1905,-167.2913333,0.8458,0.8453,31.8092,31.8061
E1087.SKQ2021,E1087.SKQ2021,11/11/2021,20:26,13,16,DBO3.3,9.651,68.1905,-167.2913333,-1.6097,-1.6105,29.7753,29.7697
E1088.SKQ2021,E1088.SKQ2021,#VALUE!,#VALUE!,14,4,DBO3.4,45.233,68.1325,-167.4878333,1.1886,1.1873,31.9174,31.9112
E1089.SKQ2021,E1089.SKQ2021,#VALUE!,#VALUE!,14,12,DBO3.4,30.405,68.1325,-167.4878333,1.1914,1.1901,31.9147,31.9097
E1090.SKQ2021,E1090.SKQ2021,#VALUE!,#VALUE!,14,20,DBO3.4,9.936,68.1325,-167.4878333,-1.5721,-1.581,29.7175,29.7089
E1091.SKQ2021,E1091.SKQ2021,11/12/2021,0:37,15,4,DBO3.5,48.429,68.01316667,-167.8793333,-0.9169,-0.9181,32.9919,32.988
E1092.SKQ2021,E1092.SKQ2021,11/12/2021,0:37,15,12,DBO3.5,30.584,68.01316667,-167.8793333,-0.8393,-0.8479,32.9813,32.9774
E1093.SKQ2021,E1093.SKQ2021,11/12/2021,0:37,15,20,DBO3.5,10.211,68.01316667,-167.8793333,-1.6523,-1.6541,30.6313,30.6248
E1094.SKQ2021,E1094.SKQ2021,11/12/2021,3:56,16,4,DBO3.6,52.693,67.90133333,-168.2363333,0.2608,0.2597,32.9598,32.9519
E1095.SKQ2021,E1095.SKQ2021,11/12/2021,3:56,16,12,DBO3.6,30.267,67.90133333,-168.2363333,0.723,0.7247,32.8549,32.8505
E1096.SKQ2021,E1096.SKQ2021,11/12/2021,3:56,16,20,DBO3.6,10.297,67.90133333,-168.2363333,-1.5132,-1.5127,30.5944,30.5883
E1097.SKQ2021,E1097.SKQ2021,11/12/2021,6:39,17,4,DBO3.7,45.086,67.783,-168.5951667,-0.5604,-0.5615,33.1592,33.1541
E1098.SKQ2021,E1098.SKQ2021,11/12/2021,6:39,17,12,DBO3.7,30.395,67.783,-168.5951667,0.8178,0.8232,32.8894,32.8862
E1099.SKQ2021,E1099.SKQ2021,11/12/2021,6:39,17,20,DBO3.7,10.216,67.783,-168.5951667,-1.2567,-1.2577,30.697,30.6912
E1100.SKQ2021,E1100.SKQ2021,11/14/2021,0:51,18,2,M8,68.443,62.20133333,-174.68,1.7712,1.7707,32.5031,32.4988
