"","qseqid","species","seq_percID","top_perc","diff","taxonomic_level","taxon","genus","family","order","class","phylum","kingdom"
"131","ASV_0908","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"132","ASV_0922","Oncorhynchus tshawytscha",98.824,98.824,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"133","ASV_0923","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"134","ASV_0930","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"135","ASV_0931","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"136","ASV_0938","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"137","ASV_0941","Oncorhynchus nerka",99.412,99.412,0,"species","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"138","ASV_0945","Oncorhynchus tshawytscha",98.824,98.824,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"139","ASV_0946","Oncorhynchus gorbuscha",99.412,99.412,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"140","ASV_0950","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
